"city";"street";"house";"floor"
"Барнаул";"Дальняя улица";56;2
"Братск";"Большая Октябрьская улица";65;5
"Балаково";"Барыши, местечко";67;2
"Азов";"Просека, улица";156;3
"Видное";"Авиаторов, улица";185;3
"Братск";"7-я Вишнёвая улица";49;5
"Батайск";"Мостотреста, улица";133;4
"Великий Новгород";"Филимонковская улица";44;1
"Абакан";"2-я Валуевская улица";172;3
"Бугульма";"Варшавское шоссе";92;2
"Ачинск";"Варшавское шоссе";39;4
"Балашов";"Учительский переулок";184;1
"Бийск";"Сиреневая улица";14;3
"Армавир";"Песчаная улица";69;1
"Ачинск";"3-я Барышевская улица";154;3
"Астрахань";"4-й Заречный переулок";100;5
"Владивосток";"Дальняя улица";196;3
"Белово";"Симферопольская улица";116;1
"Владивосток";"Родниковая улица";105;1
"Бугульма";"Маршала Кутахова, улица";91;1
"Архангельск";"Лесхозная улица";85;3
"Армавир";"Евгения Родионова, улица";22;4
"Белебей";"Маршала Кутахова, улица";93;1
"Астрахань";"Еловая улица";52;5
"Бийск";"Вишнёвая улица";128;5
"Абакан";"Симферопольская улица";177;2
"Благовещенск";"Михаила Кондакова, улица";31;2
"Братск";"2-я Катерная улица";60;4
"Буйнакск";"Московская улица";142;2
"Балаково";"Лагерная улица";122;4
"Абакан";"Барышевская улица";69;3
"Балашов";"1-й Богородский переулок";7;1
"Бердск";"4-я Майская улица";53;3
"Бугульма";"1-я Мичуринская улица";13;4
"Ангарск";"5-я Майская улица";197;3
"Анжеро-Судженск";"Люблинская улица";42;1
"Балашиха";"Живописная улица";113;2
"Брянск";"1-я Майская улица";20;1
"Бор";"Барышевская Роща, улица";52;2
"Благовещенск";"Спортивная улица";3;3
"Видное";"Первомайская улица";92;2
"Астрахань";"2-я Мичуринская улица";2;4
"Верхняя Пышма";"Бутовское Кольцо, улица";178;2
"Арзамас";"Герцена, улица";83;5
"Благовещенск";"Центральная улица";161;5
"Бор";"Большая Октябрьская улица";140;3
"Березовский";"1-я Валуевская улица";77;1
"Артем";"Михаила Кондакова, улица";177;5
"Архангельск";"Фруктовая улица";135;2
"Великие Луки";"Звёздная улица";188;1
"Благовещенск";"1-й Богородский переулок";79;1
"Бийск";"Вишнёвая улица";178;3
"Ангарск";"Космонавтов, улица";123;3
"Бийск";"Комсомольская улица";3;2
"Березники";"Парковая улица";149;1
"Белорецк";"Овражная улица";97;3
"Алексин";"Речная улица";185;1
"Апатиты";"Совхозная улица";87;4
"Абакан";"Пушковых, улица";97;2
"Березники";"Заречная улица";10;2
"Брянск";"Комсомольский переулок";136;3
"Барнаул";"Комсомольский проезд";91;3
"Арсеньев";"Мостотреста, улица";13;1
"Бийск";"Светлая улица";147;4
"Альметьевск";"3-я Пионерская улица";176;2
"Белореченск";"Суворова, улица";121;4
"Боровичи";"Быковская улица";2;2
"Асбест";"Щербинский проезд";110;1
"Бор";"Сиреневый бульвар";198;5
"Белебей";"Суворова, улица";139;4
"Бердск";"Флотская улица";197;1
"Анжеро-Судженск";"Остафьевская улица";85;1
"Видное";"Большая Октябрьская улица";174;4
"Березовский";"Академическая улица";80;4
"Балашиха";"Кооперативная улица";13;1
"Анжеро-Судженск";"2-я Рыбацкая улица";71;5
"Астрахань";"Флотская улица";84;1
"Белореченск";"Михаила Кондакова, улица";196;4
"Буйнакск";"Космонавтов, улица";189;5
"Белогорск";"Рождественская улица";73;1
"Барнаул";"1-я Катерная улица";62;3
"Бердск";"4-я Майская улица";53;3
"Бугульма";"1-я Мичуринская улица";13;4
"Ангарск";"5-я Майская улица";197;3
"Анжеро-Судженск";"Люблинская улица";42;1
"Балашиха";"Живописная улица";113;2
"Брянск";"1-я Майская улица";20;1
"Бор";"Барышевская Роща, улица";52;2
